ID,Name,Description,ColumnSpec,category,type,unit,source_comment,changes,comment
WNAI8,Tribal natural vegetation area,,,"Ecology: vegetation, Ecology: overview",Categorical,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Tribal natural vegetation area,
WNAI11,"Presence of California white oak or valley oak, Quercus lobata",,,"Ecology: vegetation, Ecology: overview",Ordinal,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",California white/valley oak,
WNAI12,"Presence of Oregon white oak, Quercus garryana",,,"Ecology: vegetation, Ecology: overview",Ordinal,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Oregon white oak,
WNAI13,"Presence of Blue oak, Quercus douglasii",,,"Ecology: vegetation, Ecology: overview",Ordinal,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Blue oak,
WNAI14,"Presence of Maul oak or canyon live oak, Quercus chrysolepis",,,"Ecology: vegetation, Ecology: overview",Ordinal,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Maul/canyon live oak,
WNAI15,"Presence of California live oak, Quercus agrifolia",,,"Ecology: vegetation, Ecology: overview",Ordinal,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",California live oak,
WNAI16,"Presence of Interior live oak, Quercus wislizenii",,,"Ecology: vegetation, Ecology: overview",Ordinal,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Interior live oak,
WNAI17,"Presence of California black oak, Quercus kelloggii",,,"Ecology: vegetation, Ecology: overview",Ordinal,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",California black oak,
WNAI18,"Presence of Tan-oak, Lithocarpus densiflora",,,"Ecology: vegetation, Ecology: overview",Ordinal,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Tan-oak,
WNAI19,"Presence of Emory oak or scrub oak, Quercus emoryi",,,"Ecology: vegetation, Ecology: overview",Ordinal,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Emory/scrub oak,
WNAI20,"Presence of Gambel oak, Quercus gambellii",,,"Ecology: vegetation, Ecology: overview",Ordinal,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Gambel/scrub oak,
WNAI21,"Presence of Evergreen oak, Quercus undulata",,,"Ecology: vegetation, Ecology: overview",Ordinal,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Evergreen oak,
WNAI22,"Presence of Pinyon pine, Pinus edulis",,,"Ecology: vegetation, Ecology: overview",Ordinal,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Pinyon pine,
WNAI23,"Presence of Single-leaf pinyon pine, Pinus monophylla",,,"Ecology: vegetation, Ecology: overview",Ordinal,,"Data imported from WNAI text files wn01.dat - wn08.dat, included in folder 10#2 of World Cultures CD-ROM (2011). Codes from Jorgensen, J. G. (1999) Codebook for Western Indians Data. 1999 World Cultures 10(2): 144-293.",Single-leaf pinyon pine,
