ID,Var_ID,Name,Description,ord
WNAI8-NA,WNAI8,Missing data,Missing data,99
WNAI8-1,WNAI8,Western pines:spp,"Western pines: yellow pine, sugar pine, lodgepole pine, Douglas-fir",1
WNAI8-2,WNAI8,Northwest conifers,"Northwestern conifers: Western larch, western white pine, Douglas-fir, redwood",2
WNAI8-3,WNAI8,Sagebrush,Sagebrush,3
WNAI8-4,WNAI8,Creosote-Mesquite,Creosote bush and mesquite,4
WNAI8-5,WNAI8,Chaparral,Chaparral (broadleaf forest and scrub forest),5
WNAI8-6,WNAI8,Pinon-Juniper,Pinon-juniper,6
WNAI8-7,WNAI8,Bunchgrass,Bunchgrass,7
WNAI8-8,WNAI8,Short grass,Short grass,8
WNAI8-9,WNAI8,Tundra,Tundra,9
WNAI8-10,WNAI8,4 and 6,"Codes 4 & 6 (creosote, mesquite, and juniper)",10
WNAI8-11,WNAI8,6 and 8,Codes 6 & 8 (pinon-juniper and bunch grass),11
WNAI11-NA,WNAI11,Missing data,Missing data,99
WNAI11-1,WNAI11,Absent,Absent,1
WNAI11-2,WNAI11,Present,Present,2
WNAI11-3,WNAI11,Very Frequent,"Present and very frequent (a codominant species of the natural vegetation, after Kucher, 1964)",3
WNAI11-4,WNAI11,Dominates the genus,Sufficiently frequent species to be sole representative of the genus shown on Kuchler’s map of dominant natural vegetation,4
WNAI12-NA,WNAI12,Missing data,Missing data,99
WNAI12-1,WNAI12,Absent,Absent,1
WNAI12-2,WNAI12,Present,Present,2
WNAI12-3,WNAI12,Very Frequent,Very frequent,3
WNAI12-4,WNAI12,Dominates the genus,Only representative of the genus shown on map of dominant vegetation,4
WNAI13-NA,WNAI13,Missing data,Missing data,99
WNAI13-1,WNAI13,Absent,Absent,1
WNAI13-2,WNAI13,Present,Present,2
WNAI13-3,WNAI13,Very Frequent,Very frequent,3
WNAI13-4,WNAI13,Dominates the genus,Only representative of the genus shown on map of dominant vegetation,4
WNAI14-NA,WNAI14,Missing data,Missing data,99
WNAI14-1,WNAI14,Absent,Absent,1
WNAI14-2,WNAI14,Present,Present,2
WNAI14-3,WNAI14,Very Frequent,Very frequent,3
WNAI14-4,WNAI14,Dominates the genus,Only representative of the genus shown on map of dominant vegetation,4
WNAI15-NA,WNAI15,Missing data,Missing data,99
WNAI15-1,WNAI15,Absent,Absent,1
WNAI15-2,WNAI15,Present,Present,2
WNAI15-3,WNAI15,Very Frequent,Very frequent,3
WNAI15-4,WNAI15,Dominates the genus,Only representative of the genus shown on map of dominant vegetation,4
WNAI16-NA,WNAI16,Missing data,Missing data,99
WNAI16-1,WNAI16,Absent,Absent,1
WNAI16-2,WNAI16,Present,Present,2
WNAI16-3,WNAI16,Very Frequent,Very frequent,3
WNAI16-4,WNAI16,Dominates the genus,Only representative of the genus shown on map of dominant vegetation,4
WNAI17-NA,WNAI17,Missing data,Missing data,99
WNAI17-1,WNAI17,Absent,Absent,1
WNAI17-2,WNAI17,Present,Present,2
WNAI17-3,WNAI17,Very Frequent,Very frequent,3
WNAI17-4,WNAI17,Dominates the genus,Only representative of the genus shown on map of dominant vegetation,4
WNAI18-NA,WNAI18,Missing data,Missing data,99
WNAI18-1,WNAI18,Absent,Absent,1
WNAI18-2,WNAI18,Present,Present,2
WNAI18-3,WNAI18,Very Frequent,Very frequent,3
WNAI18-4,WNAI18,Dominates the genus,Only representative of the genus shown on map of dominant vegetation,4
WNAI19-NA,WNAI19,Missing data,Missing data,99
WNAI19-1,WNAI19,Absent,Absent,1
WNAI19-2,WNAI19,Present,Present,2
WNAI19-3,WNAI19,Very Frequent,Very frequent,3
WNAI19-4,WNAI19,Dominates the genus,Only representative of the genus shown on map of dominant vegetation,4
WNAI20-NA,WNAI20,Missing data,Missing data,99
WNAI20-1,WNAI20,Absent,Absent,1
WNAI20-2,WNAI20,Present,Present,2
WNAI20-3,WNAI20,Very Frequent,Very frequent,3
WNAI20-4,WNAI20,Dominates the genus,Only representative of the genus shown on map of dominant vegetation,4
WNAI21-NA,WNAI21,Missing data,Missing data,99
WNAI21-1,WNAI21,Absent,Absent,1
WNAI21-2,WNAI21,Present,Present,2
WNAI21-3,WNAI21,Very Frequent,Very frequent,3
WNAI21-4,WNAI21,Dominates the genus,Only representative of the genus shown on map of dominant vegetation,4
WNAI22-NA,WNAI22,Missing data,Missing data,99
WNAI22-1,WNAI22,Absent,Absent,1
WNAI22-2,WNAI22,Present,Present,2
WNAI22-3,WNAI22,Very Frequent,Very frequent,3
WNAI22-4,WNAI22,Dominates the genus,Only representative of the genus shown on map of dominant vegetation,4
WNAI23-NA,WNAI23,Missing data,Missing data,99
WNAI23-1,WNAI23,Absent,Absent,1
